"filename", "language", "Markdown", "Makefile", "JSON", "YAML", "Shell Script", "Docker", "JSON with Comments", "Properties", "JavaScript", "TypeScript", "HTML", "CSS", "Ini", "PHP", "comment", "blank", "total"
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/artifacts/contracts/GameContract.sol/GameContract.dbg.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/artifacts/contracts/GameContract.sol/GameContract.json", "JSON", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/cache/solidity-files-cache.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/deployed-contract.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/hardhat.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 3, 41
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/package-lock.json", "JSON", 0, 0, 7043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7044
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/scripts/deploy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 4, 11, 76
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 17, 17, 129
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/docker-compose.dev.yml", "YAML", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 60
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/docker-compose.prod.yml", "YAML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/docker-compose.yml", "YAML", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 24, 171
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/package-lock.json", "JSON", 0, 0, 1831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1832
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/package.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/components/appLayout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/components/footer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 22
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/components/header.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/components/homeAnimation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 0, 0, 134, 68, 554
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/components/languageSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 9, 62
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/components/menu.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 1, 21, 122
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/i18n.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 1, 11, 85
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/cat/landing.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/cat/signin.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/cat/signup.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/en/landing.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/en/profile.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/en/signin.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/en/signup.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/es/landing.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/es/profile.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/es/signin.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/es/signup.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/fr/landing.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/fr/signin.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/locales/fr/signup.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/AnimationComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 11, 4, 27
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/InputComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 11, 5, 35
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/LifetimeComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 11, 2, 27
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/ParticleBehaviorComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 11, 3, 31
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/PhysicsComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 11, 7, 56
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/PostProcessingComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 11, 3, 27
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/PowerupComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 15, 25, 116
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/RenderComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11, 4, 26
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/TextComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 11, 16, 96
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/components/VFXComponent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 11, 8, 50
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/frontend/src/pong/engine/Component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 11, 1, 16
